"est";"id";"scientificName";"names_wo_author"
"MG";134819;"Callianthe latipetala (G.L.Esteves & Krapov.) Donnell";"Callianthe latipetala"
"MG";134820;"Ephedranthus dimerus J.C. Lopes, Chatrou & Mello-Silva";"Ephedranthus dimerus"
"MG";134823;"Callianthe fluviatilis (Vell.) Donnel";"Callianthe fluviatilis"
"MG";134843;"Callianthe regnelli (Miq.) Donnell";"Callianthe regnelli"
"MG";134846;"Callianthe rufivela (Hochr.) Donnel";"Callianthe rufivela"
"MG";134847;"Hyptis obvallata Spreng. ex Benth.";"Hyptis obvallata"
"MG";134861;"Callianthe senilis (K. Schum) Donnel";"Callianthe senilis"
"MG";134862;"Callianthe striata (Dicks. ex Lindl.) Donnel";"Callianthe striata"
"MG";134863;"Callianthe andrade-limae (Monteiro) Donnell";"Callianthe andrade-limae"
"MG";134864;"Callianthe bezerrae (Monteiro) Donnell";"Callianthe bezerrae"
"MG";134866;"Callianthe mexiae (R.E. Fries) Donnel";"Callianthe mexiae"
"MG";134879;"Callianthe scabrida (K. Schum.) Donnell";"Callianthe scabrida"
"MG";134882;"Geonoma stricta subsp. pliniana A.J. Hend.";"Geonoma stricta"
"MG";134883;"Amphiprora paludosa W.Smith";"Amphiprora paludosa"
"MG";134885;"Utricularia laxa Steyerm.";"Utricularia laxa"
"MG";134888;"Calpidisca amethystina (Salzm. ex A. St.-Hil. & Girard) Barnhart";"Calpidisca amethystina"
"MG";134889;"Calpidisca calycifida (Benj.) Gleason";"Calpidisca calycifida"
"MG";134894;"Eucampia nodosa A.Schmidt";"Eucampia nodosa"
"MG";134898;"Steyaertia couepiae Bat. & H.Maia";"Steyaertia couepiae"
"MG";134899;"Symphaster ximeniae J.L. Bezerra, Drechsler-Santos & Jad. Pereira";"Symphaster ximeniae"
"MG";134900;"Trichamelia eugeniae Bat. & R. Garnier";"Trichamelia eugeniae"
"MG";134903;"Nitzschia angustata var. marina Grunow";"Nitzschia angustata"
"MG";134904;"Allophylus glabratus (Kunth) Radlk.";"Allophylus glabratus"
"MG";134907;"Trichosia pernambucensis Bat. & R. Garnier";"Trichosia pernambucensis"
"MG";134908;"Triposporium deviatum (Subram.) R.F. Castañeda";"Triposporium deviatum"
"MG";134910;"Triposporium fructigenum Rabenh. ex Sacc. & Trotter";"Triposporium fructigenum"
"MG";134953;"Auerswaldia palmicola Speg.";"Auerswaldia palmicola"
"MG";135069;"Muellera obtusa (Benth.) M.J. Silva & A.M.G. Azevedo";"Muellera obtusa"
"MG";135073;"Muellera montana (MJ.Silva & AMG.Azevedo) MJ.Silva & AMG.Azevedo";"Muellera montana"
"MG";135098;"Epidendrum ormindoi F.E.L.Miranda";"Epidendrum ormindoi"
"MG";135103;"Epidendrum andres-johnsonii Hágsater & E.Santiago";"Epidendrum andres-johnsonii"
"MG";135105;"Butia exilata Deble & Marchiori";"Butia exilata"
"MG";135131;"Sticherus pruinosus (Mart.) Ching";"Sticherus pruinosus"
"MG";135132;"Aldama guaranitica (Chodat) E.E.Schill. & Panero";"Aldama guaranitica"
"MG";135222;"Marasmius linderioides J.S. Oliveira & Capelari";"Marasmius linderioides"
"MG";135248;"Lythrum junceum Banks & Solander";"Lythrum junceum"
"MG";135292;"Microthyrium cantareirense Henn.";"Microthyrium cantareirense"
"MG";135303;"Microthyrium xylogenum E. Bommer, M. Rousseau & Sacc.";"Microthyrium xylogenum"
